134G	/c
48G	/c/Users
41G	/c/Windows
23G	/c/Program Files
6.4G	/c/Program Files (x86)
4.1G	/c/ProgramData
1.9G	/c/$Recycle.Bin
1.2G	/c/Autodesk
833M	/c/temp
45M	/c/home
18M	/c/PREREZ
1.3M	/c/Utils
100K	/c/Dell
0	/c/tempini
0	/c/System Volume Information
0	/c/Recovery
0	/c/PerfLogs
0	/c/Intel
0	/c/inetpub
0	/c/Civil 3D Projects
